Name,Type,Dues/Membership Duration,Registration Status,Facet 1,Facet 2,Facet 3
Chess Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Chicago Artists and Filmmakers in Conversation,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Club for American Sign Language,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
College Democrats of Illinois Chapter at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
College Warriors of Work and No Play,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Couture Du Jour Student Organization,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Disability and Human Development Undergraduate Student Association,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Eco-Educators,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
EcoArts,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Enactus,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Euchre Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Family Medicine Interest Group,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Fearless Undocumented Alliance,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
"Food Recovery Network
",Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Foundation for International Medical Relief of Children Chapter at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Game Night Review Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Geriatric Interest Group,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
German Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Global Public Health Brigades at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
HeartBeats,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Leaf Student Organization,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
MannMukti at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Med for Youth,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
MEDGLOBAL NEXTGEN,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Medical Art Society at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Mental Health and Disability Alliance,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Mindful Student Organization,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Multiethnic Individuals' Xperiences Explored through Dialogue,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Net Impact,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Notes to Share,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Patient Perspective Experience,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Physical Medicine & Rehabilitation Interest Group,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Physical Therapy Student Organization for Ukraine at University of Illinois Chicago,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Pick Up Lots of Litter,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Pride at the University of Illinois at Chicago,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Queers and Allies in Medicine,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Reptile and Amphibian Student Association,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Rheumatology Interest Group at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Self-Defense and Assault Awareness,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Sexual Health Awareness and Peer Education,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Shutter Speed,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Socialist Alternative Student Organization at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
STEM Podcasting Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Student Nurses for Social Justice,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Student Nutrition Association,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Student Veterans of America Chapter at UIC,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Students for a Democratic Society,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Students for Justice in Palestine,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Sustainability in Medicine Student Organization,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Team Swole: Health and Fitness,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
TechMyWay,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
TEDxUofIChicago,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Terra Society,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
The Film Society,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
The Real Estate Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
THE UMBRELLA,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
True Happiness Club,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Urology Interest Group,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Young Americans for Freedom Chapter,Special Interest Groups,Lifetime membership,Not Registered,Advocacy and Social Justice,Educational Enrichment and Awareness,Personal Growth and Support
Alpha Kappa Delta Phi,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
"Alpha Phi Alpha Fraternity, Inc.",Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Alpha Phi Gamma National Sorority Inc.,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Alpha Sigma Tau,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Chi Sigma Omega Sorority,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Chi Sigma Tau,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Collegiate Panhellenic Council,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
"Delta Epsilon Psi Fraternity, Inc",Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Delta Phi Epsilon Sorority,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
"Delta Phi Omega Sorority,Inc.",Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Delta Psi Alpha Multicultural Co-Ed Fraternity Inc.,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
"Delta Xi Phi Multicultural Sorority, Inc.",Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Gamma Phi Omega International Sorority Inc.,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Interfraternity Council,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Kappa Pi Beta Fraternity Incorporated,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Latino Greek Council,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
National Pan-Hellenic Council at UIC,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Omega Delta Phi Fraternity Inc.,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Phi Kappa Psi Illinois Theta Chapter,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Phi Sigma Sigma,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Sigma Alpha Mu,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Sigma Lambda Gamma National Sorority Inc.,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Tau Kappa Epsilon Fraternity,Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
"Theta Lambda Beta Fraternity, Inc.",Fraternity and Sorority Groups,Lifetime membership,Not Registered,Community Building and Networking,Academic Support and Achievement,Philanthropy and Community Service
Student CORPS (University Tour Guides) & Telecounselors (Visitors Center),University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Asian American and Native American Pacific Islander-Serving Institutions Initiative,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Asian American Resource and Cultural Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Black Cultural Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Campus Advocacy Network,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Centers for Cultural Understanding and Social Change (CCUSC),University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
"College of Architecture, Design, and the Arts - School of Theatre & Music",University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Department of Black Studies,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Department of Kinesiology and Nutrition,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Disability Cultural Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Gallery 400,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Gender and Sexuality Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Global Asian Studies,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Interprofessional Education Learning Experiences,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
L@s GANAS,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Language and Culture Learning Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
LAS Career Development and Internships Office,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Navy ROTC,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
"Office of Diversity, Equity, & Engagement",University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Office of International Services,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
"Office of Planning, Sustainability, and Project Management",University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Office of Undergraduate Research,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Police Department,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Public Policy,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
School of Theatre and Music,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Technology Solutions (formerly ACCC),University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
TEST STUDENT ORGANIZATION,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UI Cancer Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UI Health Volunteering Services,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Athletics,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC College of Applied Health Sciences,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC College of Dentistry,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Dining Services,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Honors College,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Latino Cultural Center,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Strategic Marketing and Communications,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Summer Session,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
UIC Transportation,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Undergraduate Engagement Program,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
University of Illinois Chicago,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
Urban Higher Education,University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
"Women's Leadership and Resource Center and Campus Advocacy Network
",University Departments,Lifetime membership,Not Registered,Research and Innovation,Cultural and Diversity Promotion,Professional Development and Career Services
